P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"swung","VBD|VBN","VBD","his","PPG|PPGG","PPG","directly","RB|CS","RB","to","TO|IN|IN_2","IN","attack","NN|VB","NN"
"sat","VBD|VBN","VBD","down","RP|IN|JJB","RP","MPs","NPTS","NPTS","cheered","VBD|VBN","VBD","labour","NN|VB","NN"
"is","BEZ|NC","BEZ","making","VBG|NN","VBG","&period;","SPER|IN","SPER","<O>","<O>","<O>","progress","NN|VB","NN"
"answering","VBG|JJ","VBG","the","ATI|RB_2|NC","ATI","on","IN|RP|RB_3","IN","&lsquo;","SQSO","SQSO","attack","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","than","IN|CS|RB_2","CS","a","AT|AP_1|RB_1","AT","burden","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN","grew","VBD","VBD","labour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","labour","NN|VB","NN","grew","VBD","VBD","as","CS|IN|QL","CS","side","NN|VB","NN"
"picks","VBZ","VBZ","his","PPG|PPGG","PPG","team","NN|VB","NN","&period;","SPER|IN","SPER","market","NN|VB","NN"
"his","PPG|PPGG","PPG","market","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","team","NN|VB","NN"
"&lsquo;","SQSO","SQSO","brains","NNS","NNS","&rsquo;","SQSC","SQSC","team","NN|VB","NN","trust","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","hand-picked","JJ","JJ","under","IN|RB|RP","IN","the","ATI|RB_2|NC","ATI","team","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","negotiations","NNS","NNS","conduct","NN|VB","NN"
"<O>","<O>","<O>","in","IN|RP|RB_1","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","touch","NN|VB","NN"
"kept","VBN|VBD","VBN","in","IN|RP|RB_1","IN","in","IN|RP|RB_1","IN","London","NP|NC","NP","touch","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&apos;s","GENM|BEZ|HVZ","GENM","council","NN","NN","market","NN|VB","NN"
"British","JNP|NNPS","JNP","negotiating","VBG|NN|JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","team","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","is","BEZ|NC","BEZ","composed","VBN|JJ|VBD","VBN","team","NN|VB","NN"
"chief","JJB|NN","JJB","UN","NP","NP","&period;","SPER|IN","SPER","<O>","<O>","<O>","delegate","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","team","NN|VB","NN"
"second","OD|NN|RB","OD","in","IN|RP|RB_1","IN","is","BEZ|NC","BEZ","Mr","NPT|FW|NC","NPT","command","NN|VB","NN"
"has","HVZ","HVZ","taken","VBN","VBN","in","IN|RP|RB_1","IN","all","ABN|RB|RB_1","ABN","part","NN|VB","NN"
"detailed","JJ|VBN","JJ","common","JJ|RB_2|NN","JJ","exchanges","NNS","NNS","over","IN|RP|RB","IN","market","NN|VB","NN"
"board","NN|VB|IN_2","NN","of","IN|RB_1|IN_3","IN",")","SBC","SBC","&period;","SPER|IN","SPER","trade","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","commission","NN|VB","NN","&comma;","SCOM","SCOM","market","NN|VB","NN"
"common","JJ|RB_2|NN","JJ","market","NN|VB","NN","&comma;","SCOM","SCOM","or","CC|NC|FW","CC","commission","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","same","AP","AP","wave","NN|VB","NN","that","CS|DT|WPR","WPR","strike","NN|VB","NN"
"same","AP","AP","strike","NN|VB","NN","that","CS|DT|WPR","WPR","has","HVZ","HVZ","wave","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","strong","JJ","JJ","of","IN|RB_1|IN_3","IN","authority","NN","NN","arm","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","came","VBD","VBD","from","IN|IN_2|RB_2","IN","urge","NN|VB","NN"
"&lsquo;","SQSO","SQSO","limited","JJ|VBN|VBD","JJ","of","IN|RB_1|IN_3","IN","emergency","NN","NN","state","NN|VB","NN"
"publishes","VBZ","VBZ","a","AT|AP_1|RB_1","AT","likely","JJ|RB","JJ","to","TO|IN|IN_2","TO","report","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","desired","VBN|VBD|JJ","JJ","today","NR|NC","NR","at","IN|RB_1|NC","IN","effect","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","chief","JJB|NN","JJB","centre","NN|JJB|VB","NN","&comma;","SCOM","SCOM","storm","NN|VB","NN"
"Minister","NPT","NPT","of","IN|RB_1|IN_3","IN","and","CC|RB_1|RB_2","CC","probably","RB","RB","transport","NN|VB","NN"
"Nkrumah","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","&comma;","SCOM","SCOM","drove","VBD|NN","VBD","team","NN|VB","NN"
"minutes","NNS","NNS","the","ATI|RB_2|NC","ATI","had","HVD|HVN","HVD","gone","VBN","VBN","crowd","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","muster","NN|VB","NN"
"Ghana","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","Minister","NPT","NPT","&comma;","SCOM","SCOM","finance","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","taps","NNS|VBZ","NNS","&period;","SPER|IN","SPER","phone","NN|VB","NN"
"&comma;","SCOM","SCOM","but","CC|IN|RI","CC","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"man","NN|FW|VB","NN","&apos;s","GENM|BEZ|HVZ","GENM","was","BEDZ","BEDZ","watched","VBD|VBN","VBN","house","NN|VB","NN"
"at","IN|RB_1|NC","IN","a","AT|AP_1|RB_1","AT","conference","NN|NC","NN",":","SCOL|IN","SCOL","press","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","&lsquo;","SQSO","SQSO","&rsquo;","SQSC","SQSC","&period;","SPER|IN","SPER","plant","NN|VB","NN"
"such","ABL|IN_1|CS_1","ABL","unlawful","JJ","JJ","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","conduct","NN|VB","NN"
"in","IN|RP|RB_1","IN","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","<O>","<O>","<O>","stride","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","conference","NN|NC","NN","&comma;","SCOM","SCOM","press","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","&lsquo;","SQSO","SQSO","&rsquo;","SQSC","SQSC","call","VB|NN","NN","plant","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","suspect","VB|JJ|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","phone","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","lawlessness","NN","NN","record","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","present","JJ|NN|VB","JJ","287","CD","CD","incidents","NNS","NNS","trouble","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","non-violence","NN","NN","name","NN|VB","NN"
"made","VBN|VBD","VBD","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","again","RB|RB_3","RB","point","NN|VB","NN"
"to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","over","IN|RP|RB","IN","Northern","NP","NP","clash","NN|VB","NN"
"on","IN|RP|RB_3","IN","his","PPG|PPGG","PPG","from","IN|IN_2|RB_2","IN","Scotland","NP","NP","return","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","risk","NN|VB","NN"
"Africa","NP","NP","a","AT|AP_1|RB_1","AT",":","SCOL|IN","SCOL","in","IN|RP|RB_1","IN","clash","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI",":","SCOL|IN","SCOL","their","PPG","PPG","question","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","rest","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","government","NN","NN","has","HVZ","HVZ","recognised","VBN|VBD|JJ","VBN","report","NN|VB","NN"
"recommended","VBN|VBD|JJ","VBN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","federal","JJ","JJ","form","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","biggest","JJT","JJT","to","TO|IN|IN_2","IN","government","NN","NN","challenge","NN|VB","NN"
"mass","NN","NN","sit-down","JJB|NN","JJB","planned","VBN|VBD|JJ","VBN","for","IN|CS|IN_2","IN","rally","NN|VB","NN"
"anti-nuclear","JJ","JJ","arms","NNS","NNS","&period;","SPER|IN","SPER","<O>","<O>","<O>","group","NN|VB","NN"
"public","JJ|NN|RB_2","JJ","order","NN|TO_2|VB","NN","&comma;","SCOM","SCOM","1936","CD","CD","act","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","whole","JJ|NN|NC","JJ","illegal","JJ","JJ","&dash;","SDSH","SDSH","rally","NN|VB","NN"
"St","NPT|NPL|NP","NPT","Pancras","NP","NP","riots","NNS","NNS","&period;","SPER|IN","SPER","rent","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","&lsquo;","SQSO","SQSO","of","IN|RB_1|IN_3","IN","parliament","NN","NN","battle","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","visit","NN|VB","NN","of","IN|RB_1|IN_3","IN","state","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","state","NN|VB","NN","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","visit","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Yugoslav","JNP","JNP","has","HVZ","HVZ","written","VBN|JJ","VBN","press","NN|VB","NN"
"placing","VBG|NN","VBG","particular","JJ|RB_2","JJ","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","stress","NN|VB","NN"
"&comma;","SCOM","SCOM","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","view","NN|VB","NN"
"especially","RB","RB","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","fresh","JJ","JJ","view","NN|VB","NN"
"&apos;","GENM|FW","GENM","former","AP","AP","60","CD","CD","miles","NNS","NNS","base","NN|VB","NN"
"but","CC|IN|RI","CC","this","DT|QL","DT","had","HVD|HVN","HVD","been","BEN","BEN","claim","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","roots","NNS","NNS","making","VBG|NN","VBG","grass","NN|VB","NN"
"<O>","<O>","<O>","conservative","JJ|NN","JJ","low","JJ|RB","JJ","&period;","SPER|IN","SPER","stock","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","comes","VBZ","VBZ","at","IN|RB_1|NC","IN","rally","NN|VB","NN"
"called","VBN|VBD|JJ","VBN","the","ATI|RB_2|NC","ATI","speaks","VBZ","VBZ","which","WDTR|WDT","WDTR","record","NN|VB","NN"
"that","CS|DT|WPR","CS","their","PPG","PPG","at","IN|RB_1|NC","IN","home","NR","NR","stock","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","heavy","JJ","JJ","face","NN|VB","NN"
"saw","VBD|NN","VBD","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","two","CD","CD","defeat","NN|VB","NN"
"were","BED","BED","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","&lsquo;","SQSO","SQSO","favour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","national","JJ|NN","JJ","will","MD|NN|VB","MD","be","BE|RB_2","BE","rally","NN|VB","NN"
"seeking","VBG","VBG","an","AT","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","answer","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","father","NN","NN","&comma;","SCOM","SCOM","so","QL|RB|PN","QL","figure","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","&comma;","SCOM","SCOM","Mr","NPT|FW|NC","NPT","hand","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","tie","NN|VB","NN","gone","VBN","VBN","bow","NN|VB","NN"
"<O>","<O>","<O>","bow","NN|VB","NN","gone","VBN","VBN","&period;","SPER|IN","SPER","tie","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","tie","NN|VB","NN","has","HVZ","HVZ","bow","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","bow","NN|VB","NN","has","HVZ","HVZ","gone","VBN","VBN","tie","NN|VB","NN"
"is","BEZ|NC","BEZ","a","AT|AP_1|RB_1","AT","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","match","NN|VB","NN"
"across","IN|RP","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","floor","NN|VB","NN"
"topic","NN","NN","under","IN|RB|RP","IN","is","BEZ|NC","BEZ","unemployment","NN","NN","review","NN|VB","NN"
"confident","JJ","JJ","of","IN|RB_1|IN_3","IN","to","TO|IN|IN_2","IN","power","NN","NN","return","NN|VB","NN"
"has","HVZ","HVZ","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","stamp","NN|VB","NN"
"European","JNP|NNP","JNP","space","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","project","NN|VB","NN"
"space","NN","NN","satellite","NN","NN","&comma;","SCOM","SCOM","will","MD|NN|VB","MD","project","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","military","JJ|NN","JJ",";","SSEM","SSEM","or","CC|NC|FW","CC","project","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","financial","JJ","JJ","involved","VBN|VBD|JJ","VBN","is","BEZ|NC","BEZ","burden","NN|VB","NN"
"when","WRB","WRB","any","DTI|RB","DTI","in","IN|RP|RB_1","IN","budgetary","JJ","JJ","increase","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","corresponding","JJ|VBG","JJ","in","IN|RP|RB_1","IN","taxation","NN","NN","rise","NN|VB","NN"
"European","JNP|NNP","JNP","satellite","NN","NN","is","BEZ|NC","BEZ","estimated","VBN|JJ|VBD","VBN","project","NN|VB","NN"
"space","NN","NN","satellite","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","project","NN|VB","NN"
"such","ABL|IN_1|CS_1","ABL","a","AT|AP_1|RB_1","AT","would","MD","MD","be","BE|RB_2","BE","project","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","scientific","JJ","JJ","of","IN|RB_1|IN_3","IN","view","NN|VB","NN","point","NN|VB","NN"
"point","NN|VB","NN","of","IN|RB_1|IN_3","IN",";","SSEM","SSEM","and","CC|RB_1|RB_2","CC","view","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","specific","JJ","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","question","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","Blue","NP","NP","use","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","sufficient","JJ","JJ","of","IN|RB_1|IN_3","IN","development","NN","NN","stage","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","first","OD|RB|RB_2","OD","in","IN|RP|RB_1","IN","putting","VBG|NN","VBG","stage","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","second","OD|NN|RB","OD","&comma;","SCOM","SCOM","but","CC|IN|RI","CC","stage","NN|VB","NN"
"is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","fear","NN|VB","NN"
"their","PPG","PPG","own","AP|VB","AP","&period;","SPER|IN","SPER","<O>","<O>","<O>","manufacture","NN|VB","NN"
"have","HV","HV","no","ATI|UH|RB","ATI","in","IN|RP|RB_1","IN","any","DTI|RB","DTI","part","NN|VB","NN"
"in","IN|RP|RB_1","IN","any","DTI|RB","DTI","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","project","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","capsule","NN","NN","type","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","space","NN","NN","&comma;","SCOM","SCOM","has","HVZ","HVZ","travel","NN|VB","NN"
"be","BE|RB_2","BE","taking","VBG|NN","VBG","in","IN|RP|RB_1","IN","an","AT","AT","part","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","space","NN","NN","which","WDTR|WDT","WDTR","will","MD|NN|VB","MD","project","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","Minister","NPT","NPT","&period;","SPER|IN","SPER","transport","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","during","IN","IN","their","PPG","PPG","market","NN|VB","NN"
"this","DT|QL","DT","main","JJB|RB_3|NN","JJB","of","IN|RB_1|IN_3","IN","American","JNP|NNP","JNP","point","NN|VB","NN"
"Kennedy","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","report","NN|VB","NN"
"his","PPG|PPGG","PPG","recent","JJ","JJ","to","TO|IN|IN_2","IN","Paris","NP|FW","NP","visit","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","only","RB|AP|CC","RB","if","CS|CS_2","CS","market","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&comma;","SCOM","SCOM","even","RB|CS_1|JJ","CS_1","market","NN|VB","NN"
"an","AT","AT","unconditional","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","surrender","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","M&period;P&period;s","NPTS","NPTS","already","RB","RB","labour","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","television","NN","NN","on","IN|RP|RB_3","IN","his","PPG|PPGG","PPG","report","NN|VB","NN"
"to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","disarmament","NN","NN","question","NN|VB","NN"
"situation","NN","NN","in","IN|RP|RB_1","IN","to","TO|IN|IN_2","IN","Germany","NP","NP","regard","NN|VB","NN"
"followed","VBN|VBD","VBN","by","IN|RP|IN_1","IN","given","VBN|JJ|IN","VBN","by","IN|RP|IN_1","IN","lunch","NN|VB","NN"
"Secretary","NPT","NPT","of","IN|RB_1|IN_3","IN","&comma;","SCOM","SCOM","gave","VBD","VBD","state","NN|VB","NN"
"on","IN|RP|RB_3","IN","a","AT|AP_1|RB_1","AT","visit","NN|VB","NN","40","CD","CD","state","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","state","NN|VB","NN","40","CD","CD","minutes","NNS","NNS","visit","NN|VB","NN"
"&comma;","SCOM","SCOM","delighted","JJ|VBD|VBN","JJ","of","IN|RB_1|IN_3","IN","Indonesian","JNP","JNP","crowd","NN|VB","NN"
"chanting","VBG","VBG","his","PPG|PPGG","PPG","and","CC|RB_1|RB_2","CC","waving","VBG|NN","VBG","name","NN|VB","NN"
"Polaris","NP","NP","missile","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","base","NN|VB","NN"
